room_id,host_id,room_type,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,last_modified
9035176,29229049,Entire home/apt,Oud Noord,29,4.5,4,1,80,12/28/16
2842228,3040748,Entire home/apt,Noord Oost,48,4.5,3,1,77,12/28/16
9161106,47687781,Entire home/apt,Noord Oost,1,0,2,0,70,12/28/16
1357312,7368359,Entire home/apt,Oud Noord,15,4.5,2,1,80,12/28/16
11560797,60919228,Entire home/apt,Oud Noord,3,5,2,1,80,12/28/16
5897261,3040748,Entire home/apt,Noord Oost,41,4.5,4,1,77,12/28/16
9346390,7401689,Entire home/apt,Oud Noord,1,0,3,3,78,12/28/16
13386172,32748940,Entire home/apt,Watergraafsmeer,3,4.5,4,1,80,12/28/16
8544815,7594884,Entire home/apt,Oostelijk Havengebied / Indische Buurt,7,5,2,1,74,12/28/16
3753071,14591961,Entire home/apt,Noord Oost,16,5,2,1,80,12/28/16
15598695,69390852,Entire home/apt,De Pijp / Rivierenbuurt,2,0,6,3,75,12/28/16
15435454,2872698,Entire home/apt,Noord Oost,5,5,3,2,80,12/28/16
16144462,14483425,Entire home/apt,Oud Oost,0,0,2,1,70,12/28/16
12064496,64633613,Entire home/apt,Oostelijk Havengebied / Indische Buurt,14,4.5,2,1,79,12/28/16
14120679,85120727,Entire home/apt,Noord-West / Noord-Midden,8,5,2,0,70,12/28/16
13902255,82358599,Entire home/apt,Bijlmer Centrum,0,0,4,0,54,12/28/16
8259239,34201668,Entire home/apt,Geuzenveld / Slotermeer,2,0,2,1,54,12/28/16
15390738,16544712,Entire home/apt,Watergraafsmeer,0,0,2,1,54,12/28/16
13695213,79837982,Entire home/apt,Centrum Oost,1,0,2,0,54,12/28/16
6811699,11944049,Entire home/apt,Noord West,42,4.5,2,1,43,12/28/16
4661466,11944049,Entire home/apt,Noord West,63,5,3,2,43,12/28/16
16524416,61243223,Entire home/apt,Centrum West,0,0,2,1,54,12/28/16
16156355,6999042,Entire home/apt,De Baarsjes / Oud West,0,0,2,1,54,12/28/16
8840817,11944049,Entire home/apt,Noord West,33,4.5,3,1,43,12/28/16
2531121,11944049,Entire home/apt,Noord West,85,4.5,3,2,53,12/28/16
